heroId,apm,casts,abilityCasts,kills,deaths,assists,networth,xp,cs,dn,neutrals,heroDamage,towerDamage,physicalDamage,magicalDamage,pureDamage,disableCount,disableDuration,stunCount,stunDuration,slowCount,slowDuration,healingSelf,healingAllies,invisibleCount,runePower,runeBounty,supportGold,level,campsStacked,ancients,goldLost,goldFed,weakenCount,weakenDuration,physicalItemDamage,magicalItemDamage,healingItemSelf,healingItemAllies,attackDamage,castDamage,damage,kDAAverage
1,0.5988350384586664,0.1290297328456141,0.06719798596321748,0.5331664580725908,0.15217391304347816,0.0,0.8900814002688147,0.9056935931755887,0.9018559295375904,0.690272373540856,0.8621071576907102,0.3369106428179368,0.5053494220418248,0.43785864903925886,0.11992450673724735,0.0015739435358449066,0.006264682850430698,0.005204602107802853,0.05210599721059972,0.04184356206662642,0.0010708996316409068,0.008896551628014589,0.0010114092321388101,5.8200614559031694e-05,0.00048156833725610123,0.08006814310051105,0.6888888888888889,0.01407115873162127,0.9239864864864864,0.20689655172413796,0.6571709233791749,0.8667978063900812,0.3345068515409197,0.00624512099921936,0.009104167150752459,0.15865658103101024,0.02374091505779144,0.29286955502014883,0.000643656252000313,0.46690071253965765,0.1076093697783277,0.3078857120444902,0.4387755102040818
2,0.32417295198267493,0.08586088614981709,0.02818334174954808,0.7521902377972466,0.7845849802371541,0.34100974313551813,0.511713072089065,0.4341045692547061,0.4431861871308238,0.29571984435797666,0.38405094835940745,0.6472147963458021,0.08734034456895792,0.22066150164664627,0.000554544634263715,0.40149407017842126,0.3246671887235709,0.2328836179719571,0.00039051603905160395,0.0006368925171346193,0.019420498993658143,0.4240487510029469,6.583481752977277e-05,5.918706565325257e-06,0.002095232188298567,0.06643952299829639,0.3365079365079364,0.05387582103697463,0.4915540540540544,0.27899686520376177,0.7239685658153243,0.21267286599904645,0.8780004191697144,0.006520641043302567,0.013242757603928111,1.0,0.3626701814676073,0.1615757126713716,0.0024288244205315675,0.10988020318649122,0.4483604570332604,0.4761182395137852,0.19897959183673497
3,0.2751101486072737,0.08762578459699112,0.04703566279520788,0.3028785982478098,0.660079051383399,0.49158547387068185,0.10161523364023162,0.11272816412437492,0.07231484394114153,0.2988326848249027,0.03530389035026997,0.3487736748421677,0.07478712609194389,0.08513611486246356,0.002215546799807507,0.5948378501342717,0.2072043852779953,0.23455309230958427,0.03693165969316597,0.14044032621054478,0.0,0.00017004218997615235,0.2497918629330751,6.905157659546134e-06,0.01356245197535102,0.22998296422487222,0.5587301587301586,0.7506022034723775,0.1385135135135136,0.21943573667711602,0.0343811394891945,0.8610753457319982,0.5958356195351926,0.0011480001836800295,0.0006936072682576883,0.0019141183524745166,0.08806034927444975,0.171611479499371,0.03673107970669189,0.10615974064249925,0.4085780533185077,0.32620415894154453,0.17346938775510212
4,0.2875812112612951,0.12903684937161075,0.05932333633389686,0.7133917396745931,0.45256916996047414,0.299379982285208,0.6324772215652936,0.5895196540641146,0.5711090140155883,0.6661478599221791,0.49328533850200756,0.5671988853407643,0.29569206079590576,0.2661037268699505,0.1321850186477382,0.26946619042043646,0.4851996867658575,0.7030858678826518,0.0066945606694560665,0.007575705244485215,0.0005696274636387804,0.0008378991519726521,0.8297942749343544,9.864510942208762e-07,0.006306727306493117,0.1890971039182283,0.5619047619047619,0.075647286464572,0.6520270270270272,0.13479623824451412,0.531434184675835,0.4549952312827852,0.6601805255634654,0.01901088304174129,0.02819236358706381,0.2225117742621548,0.5843409926110916,0.2683378286177267,0.0026386350220123323,0.3232179284917621,0.31070637348956254,0.3974915449236449,0.4744897959183676
5,0.19042640579493686,0.08886406012041162,0.04653800835766718,0.17021276595744683,0.901185770750988,0.6873339238263948,0.04068536437241688,0.051945811288820476,0.04278074866310162,0.05214007782101168,0.05759379759102866,0.2714337459972489,0.03182492499779406,0.03962897149761888,0.40943628188161696,8.660966467624826e-05,0.503680501174628,0.3224169264494317,0.0,2.6249366215960455e-05,0.030934568792010023,0.3453498803897218,2.913045023441273e-06,9.864510942208762e-07,0.020336133035956275,0.05962521294718906,0.6095238095238095,0.9522186097326611,0.06587837837837807,0.3228840125391849,0.014734774066797645,0.834549356223176,0.6820456424011361,0.18625154980024797,0.2723223621654525,0.0005304183386375166,0.0026396581962809997,0.13916414362167118,0.03845579397310157,0.053024392780985065,0.396831417557131,0.31592365223345575,0.06632653061224492
6,0.3047569262937794,0.045389202806757845,0.021296682547697978,0.5807259073842302,0.3754940711462449,0.20726306465899025,0.6687029042232742,0.5715100969529194,0.6453112439271608,0.6840466926070038,0.5738612764779177,0.5091330502241096,0.5500625937527573,0.7916151349302248,0.00958516301732435,0.00040845545563366454,0.0,0.0,0.09361227336122734,0.079076906498376,0.04608665932480157,0.3203810896359285,0.06986414140619675,0.0,0.023272951341398923,0.05792163543441223,0.2761904761904762,0.016269365942267446,0.6283783783783785,0.3887147335423198,0.668958742632613,0.7058893657606107,0.4862250941365693,0.00027552004408320705,0.00010776435795404335,0.023981571165741636,0.0042191841250529185,0.18790777382145368,0.0011059507976358969,0.6575914657050558,0.18561795157882338,0.6025864893640491,0.3877551020408163
7,0.35718019565379755,0.13066653382484805,0.0732722974802585,0.4818523153942428,0.6541501976284583,0.5465013286093888,0.31993807011248676,0.2843283518003703,0.2720981440704624,0.26381322957198444,0.19424062024089717,0.5100317108997051,0.11284523074208067,0.24769967067074183,0.44389549747353224,0.00019620831442088342,0.0028191072826938136,0.0020686646352532857,0.4486471408647141,0.5137076953470926,0.0002734211825466145,0.00021859248738737616,2.3304360187530185e-05,1.9729021884417523e-06,0.009944689149598795,0.2606473594548552,0.5333333333333332,0.4217662002606257,0.3310810810810807,0.12225705329153605,0.1394891944990177,0.6327968526466383,0.662992259489602,0.002525600404096065,0.00377120364371603,0.003451562812293406,0.01062800385632006,0.19998640753928487,0.01768810053839534,0.2989488161901954,0.43699083318102455,0.5956263211695175,0.3265306122448981
8,0.36546934508251805,0.0739976373133691,0.012573092995513794,0.6670838548185232,0.31422924901185767,0.14526129317980518,0.7863696904982627,0.708080294723135,0.7664884135472371,0.6381322957198443,0.7153537311366468,0.5613224800723551,0.5170919549104386,0.44705807093610067,0.20257195921559193,0.00041914800682826315,0.0,0.00023570771852496754,0.002900976290097629,0.0035934000804059537,0.0004253218395169559,0.0001849092666953787,0.355554623381148,0.4607417125777446,0.0032015442505219957,0.022146507666098797,0.46984126984126984,0.0319990522699451,0.7601351351351351,0.20689655172413796,0.7652259332023577,0.5655579399141633,0.5379972636224271,0.0015612802498048402,0.0018973113616017482,0.09638495559347918,0.542184726268868,0.2915036459776977,0.00017780559447522454,0.17203296290517384,0.4227060584207865,0.4600795377755408,0.4693877551020409
9,0.21865432006571572,0.10728874592578885,0.06821525018113157,0.2690863579474343,0.46837944664031617,0.536758193091231,0.19203478082571446,0.13146687838767268,0.1847541155499633,0.0988326848249027,0.17375051917485812,0.26561911809476824,0.09965504500132359,0.14830762669699335,0.29123744285370545,7.859025128029932e-05,0.0480814408770556,0.028689972613007948,0.08228730822873082,0.23292651420850563,0.00018228078836440967,0.00021208814132271452,2.5634796206283202e-05,2.4661277355521904e-05,0.9359177857219325,0.16524701873935263,0.5968253968253968,0.6652670097800476,0.15878378378378377,0.2445141065830721,0.053045186640471524,0.9421316165951361,0.4432766826249444,0.0009184001469440236,0.0005607771767897162,0.006529014139364215,0.1261326161431819,0.20368435641031107,0.1310498353520195,0.18164906988436397,0.2776834185879871,0.2581660226454686,0.38265306122448983
10,0.5880815473078934,0.24897877851947792,0.21481839272253567,0.7196495619524407,0.19565217391304346,0.1062887511071745,0.783857046913975,0.7177568502909211,0.7400300583691586,0.885603112840467,0.6070884673958189,0.5756423846063249,0.7012582171534457,0.421576515743834,0.3220550860202117,0.0038257948174273615,0.007517619420516836,0.005341244263469501,0.03765690376569038,0.04665686690327938,0.007898834162457753,0.008154823878569433,0.005946690110853014,0.004580092430467528,0.002598187720399499,0.13628620102214653,0.36825396825396817,0.014202787905911465,0.7702702702702702,0.1974921630094044,0.7053045186640472,0.6997257987601337,0.4374059517389656,0.007852321256371402,0.00904744906761875,0.019061748894321197,0.17253652653710286,1.0,0.14412210265783804,0.4514929815132655,0.32433386278143017,0.5771317864295514,0.6581632653061227
11,0.3595698603539691,0.09769566888227843,0.03908782868977832,0.7221526908635795,0.5019762845849802,0.16120460584588137,0.7152623983582673,0.6714303893027804,0.6898046206004683,0.9626459143968872,0.5735843832202685,0.6917398328455587,0.7209890364422483,0.5159746013694411,0.38088719622232914,0.0004095247107531244,0.010180109631949883,0.007216657849994241,0.0,0.0002065410657518993,0.000432916872365473,0.00014658008452862308,0.001777540073303865,0.0,0.07356802928049556,0.5621805792163543,0.6063492063492062,0.07597635940029748,0.7280405405405403,0.27899686520376177,0.6512770137524558,0.35237243681449715,0.6717901137174467,0.0008724801395968225,0.0014217942710710884,0.02992891881780771,0.008591340355820234,0.7818969744781561,0.0065290214291302455,0.6180070849442045,0.37090630451091305,0.7842944352156075,0.295918367346939
