Heroes,Similarity
"[62, 9]",0.9910612615459083
"[9, 62]",0.9910612615459083
"[84, 40]",0.9711649318291259
"[40, 84]",0.9711649318291259
"[87, 111]",0.9673336355592792
"[111, 87]",0.9673336355592792
"[48, 10]",0.9660499838987752
"[10, 48]",0.9660499838987752
"[86, 51]",0.9644366721498313
"[51, 86]",0.9644366721498313
"[32, 62]",0.9587699725088457
"[62, 32]",0.9587699725088457
"[22, 105]",0.9580856194806541
"[105, 22]",0.9580856194806541
"[112, 83]",0.9565642874565528
"[83, 112]",0.9565642874565528
"[84, 65]",0.9546774011693767
"[65, 84]",0.9546774011693767
"[48, 94]",0.9529198165730562
"[94, 48]",0.9529198165730562
"[68, 83]",0.951263134101575
"[83, 68]",0.951263134101575
"[53, 126]",0.9501887380604547
"[126, 53]",0.9501887380604547
"[56, 32]",0.9480869727751692
"[32, 56]",0.9480869727751692
"[32, 9]",0.9469285488212966
"[9, 32]",0.9469285488212966
"[56, 62]",0.9468811469600551
"[62, 56]",0.9468811469600551
"[70, 44]",0.9448190995945565
"[44, 70]",0.9448190995945565
"[105, 72]",0.9434083846840613
"[72, 105]",0.9434083846840613
"[81, 80]",0.943171635469031
"[80, 81]",0.943171635469031
"[6, 44]",0.9412856125435818
"[44, 6]",0.9412856125435818
"[93, 77]",0.9402941214594418
"[77, 93]",0.9402941214594418
"[50, 85]",0.9399265304131468
"[85, 50]",0.9399265304131468
"[68, 65]",0.9370914471775087
"[65, 68]",0.9370914471775087
"[29, 64]",0.9336632042380386
"[64, 29]",0.9336632042380386
"[128, 19]",0.9296206588944943
"[19, 128]",0.9296206588944943
"[81, 54]",0.9294513928150516
"[54, 81]",0.9294513928150516
"[39, 40]",0.9293856546992219
"[40, 39]",0.9293856546992219
"[52, 105]",0.9291475191288414
"[105, 52]",0.9291475191288414
"[18, 94]",0.9288293391960127
"[94, 18]",0.9288293391960127
"[1, 41]",0.9274845424036813
"[41, 1]",0.9274845424036813
"[19, 7]",0.9260551248711398
"[7, 19]",0.9260551248711398
"[31, 5]",0.9239990519078448
"[5, 31]",0.9239990519078448
"[22, 52]",0.9236081460823707
"[52, 22]",0.9236081460823707
"[64, 37]",0.9215021475560115
"[37, 64]",0.9215021475560115
"[1, 93]",0.9211857364432656
"[93, 1]",0.9211857364432656
"[57, 58]",0.9200146487591696
"[58, 57]",0.9200146487591696
"[126, 25]",0.9187776474706892
"[25, 126]",0.9187776474706892
"[105, 38]",0.9161315453614576
"[38, 105]",0.9161315453614576
"[110, 20]",0.9151796311031439
"[20, 110]",0.9151796311031439
"[69, 110]",0.9146926056117738
"[110, 69]",0.9146926056117738
"[128, 51]",0.9139957824749289
"[51, 128]",0.9139957824749289
"[94, 10]",0.9139662860062412
"[10, 94]",0.9139662860062412
"[56, 9]",0.9099402258179294
"[9, 56]",0.9099402258179294
"[46, 95]",0.9080943512502248
"[95, 46]",0.9080943512502248
"[68, 112]",0.9075410134023179
"[112, 68]",0.9075410134023179
"[80, 54]",0.904709062265061
"[54, 80]",0.904709062265061
